chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AAPL,2020-12-24,133.0000,put,buy,2020-12-22T15:16:17.545288Z,debit,1.00000,limit,long_put,,1.48000000,1.00000
AAPL,2020-12-24,133.0000,put,buy,2020-12-22T15:13:12.327230Z,debit,1.00000,limit,long_put,,1.56000000,1.00000
BA,2020-12-31,220.0000,call,buy,2020-12-22T15:04:45.120807Z,debit,1.00000,limit,long_call_spread,,1.10000000,1.00000
BA,2020-12-31,222.5000,call,sell,2020-12-22T15:04:45.120807Z,debit,1.00000,limit,long_call_spread,,1.10000000,1.00000
AAPL,2020-12-31,128.0000,call,sell,2020-12-22T15:01:02.285244Z,credit,1.00000,limit,,long_call,6.80000000,1.00000
FB,2020-12-31,272.5000,call,buy,2020-12-22T14:57:57.688710Z,debit,1.00000,limit,long_call,,5.05000000,1.00000
PLTR,2020-12-24,30.0000,call,sell,2020-12-22T14:39:40.819837Z,credit,1.00000,limit,,long_call,0.70000000,1.00000
BA,2020-12-24,222.5000,call,buy,2020-12-22T14:33:58.544033Z,credit,1.00000,limit,,long_call_spread,1.20000000,1.00000
BA,2020-12-24,220.0000,call,sell,2020-12-22T14:33:58.544033Z,credit,1.00000,limit,,long_call_spread,1.20000000,1.00000
AAPL,2020-12-31,130.0000,call,sell,2020-12-22T14:32:10.387418Z,credit,1.00000,limit,,long_call,2.94000000,1.00000
AAPL,2020-12-31,128.0000,call,buy,2020-12-21T17:32:36.643083Z,debit,1.00000,limit,long_call,,1.64000000,1.00000
AMZN,2020-12-31,3300.0000,call,sell,2020-12-21T17:25:40.181501Z,debit,1.00000,limit,long_call_spread,,2.80000000,1.00000
AMZN,2020-12-31,3290.0000,call,buy,2020-12-21T17:25:40.181501Z,debit,1.00000,limit,long_call_spread,,2.80000000,1.00000
FSLY,2021-01-08,95.0000,call,buy,2020-12-21T17:12:43.895222Z,debit,1.00000,limit,long_call_spread,,0.70000000,1.00000
FSLY,2021-01-08,96.0000,call,sell,2020-12-21T17:12:43.895222Z,debit,1.00000,limit,long_call_spread,,0.70000000,1.00000
ZM,2020-12-31,450.0000,call,sell,2020-12-21T16:31:22.117025Z,debit,1.00000,limit,long_call_spread,,0.90000000,1.00000
ZM,2020-12-31,445.0000,call,buy,2020-12-21T16:31:22.117025Z,debit,1.00000,limit,long_call_spread,,0.90000000,1.00000
JNPR,2020-12-31,23.0000,call,buy,2020-12-21T15:48:26.331538Z,debit,1.00000,limit,long_call,,0.19000000,1.00000
SPLK,2020-12-24,180.0000,call,sell,2020-12-21T15:47:09.393152Z,credit,1.00000,limit,,long_call,0.79000000,1.00000
JNPR,2020-12-31,23.0000,call,buy,2020-12-21T14:54:13.864246Z,debit,1.00000,limit,long_call,,0.31000000,1.00000
TSLA,2020-12-24,800.0000,call,sell,2020-12-21T14:49:15.082171Z,credit,1.00000,limit,,long_call,0.75000000,1.00000
TSLA,2020-12-24,800.0000,call,buy,2020-12-21T14:46:25.261451Z,debit,1.00000,limit,long_call,,1.03000000,1.00000
DBX,2020-12-24,23.0000,put,sell,2020-12-21T14:41:39.211233Z,credit,1.00000,limit,,long_put,0.27000000,1.00000
PLTR,2020-12-24,30.0000,call,buy,2020-12-21T14:31:46.167373Z,debit,1.00000,limit,long_call,,0.50000000,1.00000
RKT,2021-01-15,22.0000,call,buy,2020-12-18T17:41:02.792680Z,debit,1.00000,limit,long_call,,1.36000000,1.00000
DBX,2020-12-24,23.0000,put,buy,2020-12-18T17:11:20.859309Z,debit,1.00000,limit,long_put,,0.19000000,1.00000
BA,2020-12-24,220.0000,call,buy,2020-12-18T16:54:04.129091Z,debit,1.00000,limit,long_call_spread,,1.03000000,1.00000
BA,2020-12-24,222.5000,call,sell,2020-12-18T16:54:04.129091Z,debit,1.00000,limit,long_call_spread,,1.03000000,1.00000
CHWY,2020-12-31,90.0000,put,sell,2020-12-18T15:20:50.170408Z,credit,1.00000,limit,,long_put,0.75000000,1.00000
FB,2020-12-24,280.0000,call,buy,2020-12-18T15:11:50.179649Z,debit,1.00000,limit,long_call,,1.75000000,1.00000
FB,2020-12-24,280.0000,call,buy,2020-12-18T14:58:49.691098Z,debit,1.00000,limit,long_call,,1.96000000,1.00000
SPLK,2020-12-24,180.0000,call,buy,2020-12-17T20:44:53.970481Z,debit,1.00000,limit,long_call,,0.46000000,1.00000
SFIX,2020-12-18,65.0000,put,sell,2020-12-17T20:23:29.709000Z,credit,1.00000,limit,,long_put,0.21000000,1.00000
CHWY,2020-12-31,90.0000,put,sell,2020-12-17T20:19:24.694331Z,credit,1.00000,limit,,long_put,1.05000000,1.00000
SFIX,2020-12-18,65.0000,put,buy,2020-12-17T16:41:51.877660Z,debit,1.00000,limit,long_put,,0.08000000,1.00000
PLTR,2020-12-24,30.0000,call,buy,2020-12-17T16:22:50.537426Z,debit,1.00000,limit,long_call,,0.79000000,1.00000
RKT,2021-01-15,22.0000,call,buy,2020-12-17T15:49:34.303203Z,debit,1.00000,limit,long_call,,1.46000000,1.00000
WBA,2020-12-18,41.0000,call,sell,2020-12-17T14:54:32.650973Z,credit,2.00000,limit,,long_call,0.34000000,2.00000
CHWY,2020-12-31,90.0000,put,buy,2020-12-17T14:46:53.585652Z,debit,1.00000,limit,long_put,,1.23000000,1.00000
AMZN,2021-01-08,3500.0000,call,buy,2020-12-17T14:32:05.248350Z,credit,1.00000,limit,,long_call_spread,1.50000000,1.00000
AMZN,2021-01-08,3490.0000,call,sell,2020-12-17T14:32:05.248350Z,credit,1.00000,limit,,long_call_spread,1.50000000,1.00000
SPY,2021-01-06,370.0000,call,sell,2020-12-16T20:39:50.293632Z,debit,1.00000,limit,long_call_spread,,0.62000000,1.00000
SPY,2021-01-06,369.0000,call,buy,2020-12-16T20:39:50.293632Z,debit,1.00000,limit,long_call_spread,,0.62000000,1.00000
AAPL,2020-12-31,130.0000,call,buy,2020-12-16T20:28:05.324275Z,debit,1.00000,limit,long_call,,2.42000000,1.00000
