ref_id,chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
7DD93D05-38E0-4BE5-A98A-D59BAA21FA98,PLTR,2021-03-05,27.0000,put,sell,2021-02-12T20:17:40.598774Z,credit,1.00000,limit,short_put,,1.83000000,1.00000
F5543A5A-E322-4907-833A-14527035E651,CRSR,2021-02-19,35.0000,put,buy,2021-02-12T17:44:43.070714Z,debit,2.00000,limit,,short_put,0.27000000,2.00000
3F10CB51-D26D-42B8-9166-03DCBFE5142B,PLTR,2021-02-26,28.0000,put,sell,2021-02-12T14:36:11.075785Z,credit,1.00000,limit,short_put,,1.60000000,1.00000
CA0C96EF-4380-4529-A1CD-30BFCB6CD0A3,BB,2021-02-26,7.5000,put,buy,2021-02-12T14:32:33.576596Z,debit,5.00000,limit,,short_put,0.06000000,5.00000
0119758D-1916-42AA-A619-0B52681279CF,TLRY,2021-02-26,25.0000,put,sell,2021-02-11T16:39:49.283185Z,credit,1.00000,limit,short_put,,1.95000000,1.00000
993608BF-903A-4DF3-ACDC-AD27DFD785FD,AMC,2021-03-26,4.0000,put,sell,2021-02-09T14:41:30.302299Z,credit,5.00000,limit,short_put,,0.76000000,5.00000
5F9B9188-4FCC-42B3-A3D7-70012DBC5D9F,GME,2021-02-26,20.0000,put,sell,2021-02-09T14:36:49.536262Z,credit,1.00000,limit,short_put,,1.00000000,1.00000
1D894DD8-2778-4B1D-9835-B8426132B26F,QS,2021-02-19,55.0000,call,sell,2021-02-08T16:05:00.006788Z,credit,1.00000,limit,short_call,,1.75000000,1.00000
25AC5D65-BC5A-4808-89BB-FBEA6124D49E,GME,2021-02-26,20.0000,put,sell,2021-02-08T15:37:44.117668Z,credit,1.00000,limit,short_put,,1.14000000,1.00000
605E4270-D493-468F-B429-E91CA5B4B930,BB,2021-02-26,8.0000,put,buy,2021-02-08T15:34:39.612958Z,debit,5.00000,limit,,short_put,0.09000000,5.00000
23D6D795-622C-4BCC-9752-FEA715E4185D,BB,2021-02-05,12.5000,put,buy,2021-02-05T15:30:33.204070Z,debit,1.00000,limit,,short_put,0.37000000,1.00000
88B72CF0-9243-465B-B043-315A75849AB5,QS,2021-02-19,40.0000,put,sell,2021-02-05T15:09:47.963804Z,credit,1.00000,limit,short_put,,3.00000000,1.00000
0F9B7AAB-F627-456A-9BFE-1508E2EA54B8,AMC,2021-02-05,5.0000,put,buy,2021-02-05T15:06:54.189867Z,debit,1.00000,limit,,short_put,0.02000000,1.00000
89FB2ED7-0364-4329-9C79-ADAF90747729,AMC,2021-02-05,4.0000,put,buy,2021-02-05T15:06:31.028548Z,debit,2.00000,limit,,short_put,0.01000000,2.00000
64B61116-3D4E-4E78-92E9-CA82E8E591DD,GME,2021-02-05,20.0000,put,buy,2021-02-05T15:06:08.243960Z,debit,1.00000,limit,,short_put,0.02000000,1.00000
22FCEE71-8DDA-44E7-911C-583EC81215D1,AMC,2021-02-05,4.0000,put,sell,2021-02-02T16:08:48.745069Z,credit,2.00000,limit,short_put,,0.20000000,2.00000
0187A37F-A943-4676-BABF-7CA0D1609876,AMC,2021-02-05,5.0000,put,sell,2021-02-02T16:07:46.344705Z,credit,1.00000,limit,short_put,,0.41000000,1.00000
E0435C3F-D6FC-4835-86DF-ABE10A335971,GME,2021-02-05,20.0000,put,sell,2021-02-02T16:05:00.202129Z,credit,1.00000,limit,short_put,,0.58000000,1.00000
65E5869D-842E-4D25-9572-7F5CCD16AD62,FUBO,2021-02-05,35.0000,put,buy,2021-02-02T16:02:04.046185Z,debit,1.00000,limit,,short_put,0.25000000,1.00000
DA1DBDA8-7C7C-40AC-98D8-14D17E4AB7E6,BB,2021-02-26,7.5000,put,sell,2021-02-01T14:54:59.348277Z,credit,5.00000,limit,short_put,,0.80000000,5.00000
FFCB0934-4D96-4F93-82CF-47DF388F7B6F,AMC,2021-02-26,4.0000,put,sell,2021-02-01T14:46:27.889319Z,credit,10.00000,limit,short_put,short_put,0.63000000,10.00000
FFCB0934-4D96-4F93-82CF-47DF388F7B6F,AMC,2021-02-05,2.0000,put,buy,2021-02-01T14:46:27.889319Z,credit,10.00000,limit,short_put,short_put,0.63000000,10.00000
FDE58570-CDDB-47D7-AF98-29D9B8CBBEBE,BB,2021-02-26,8.0000,put,sell,2021-02-01T14:41:56.043469Z,credit,5.00000,limit,short_put,,1.00000000,5.00000
AEDFAF9C-F78A-4B2F-B054-BB7C769EBDF9,QS,2021-02-05,50.0000,call,sell,2021-02-01T14:33:37.933063Z,credit,1.00000,limit,short_call,,1.10000000,1.00000
CD53EFCD-6025-4BF3-B07C-DA3352269EAD,BB,2021-01-29,14.0000,put,buy,2021-01-29T20:50:56.295042Z,debit,2.00000,limit,,short_put,0.24000000,2.00000
